Date,Open,High,Low,Close,Adj Close,Volume
2022-01-05,219.649994,221.500000,218.649994,220.550003,210.628159,11230588
2022-01-06,219.000000,220.399994,218.199997,218.699997,208.861374,8950589
2022-01-07,219.800003,220.649994,217.500000,218.399994,208.574875,8855041
2022-01-10,219.899994,224.699997,218.899994,223.300003,213.254440,15841299
2022-01-11,223.350006,224.250000,221.199997,221.949997,211.965179,8020695
2022-01-12,222.500000,223.649994,221.600006,222.750000,212.729187,13158894
2022-01-13,223.899994,225.800003,222.750000,223.949997,213.875198,11501088
2022-01-14,223.949997,224.800003,222.300003,222.600006,212.585938,10569725
2022-01-17,222.600006,225.600006,221.350006,224.600006,214.495972,12318313
2022-01-18,224.600006,227.300003,220.300003,220.750000,210.819168,14394097
2022-01-19,220.750000,222.399994,218.699997,220.350006,210.437164,11473796
2022-01-20,220.550003,222.149994,218.000000,218.750000,208.909134,17329896
2022-01-21,218.500000,220.500000,216.000000,217.050003,207.285614,16586264
2022-01-24,217.050003,217.750000,210.899994,211.800003,202.271790,17354942
2022-01-25,212.000000,214.699997,209.550003,214.300003,204.659332,18322935
2022-01-27,211.250000,215.500000,211.100006,214.600006,204.945831,23149684
2022-01-28,215.100006,219.250000,215.100006,217.600006,207.810867,15276991
2022-01-31,218.500000,220.750000,217.100006,220.199997,210.293900,15039006
2022-02-01,221.000000,228.800003,219.149994,227.750000,217.504257,43207074
2022-02-02,230.000000,233.300003,229.000000,232.149994,221.706299,41130638
2022-02-03,232.149994,235.199997,231.800003,234.449997,223.902847,27845963
2022-02-04,237.250000,238.500000,231.550003,234.300003,223.759598,56705951
2022-02-07,234.000000,234.750000,228.500000,230.199997,219.844025,24171083
2022-02-08,230.300003,232.300003,229.050003,231.250000,220.846802,16201280
2022-02-09,232.300003,233.000000,228.750000,230.149994,219.796280,11893807
2022-02-10,228.699997,233.399994,227.750000,232.250000,221.801819,19563580
2022-02-11,232.000000,233.300003,229.800003,232.449997,221.992813,18096561
2022-02-14,226.000000,226.000000,218.500000,219.449997,214.420441,22745228
2022-02-15,221.000000,223.500000,218.550003,223.000000,217.889084,12875311
2022-02-16,223.800003,224.699997,221.850006,222.750000,217.644806,11231596
2022-02-17,223.050003,224.350006,220.850006,222.649994,217.547089,14024149
2022-02-18,222.649994,223.449997,221.500000,221.899994,216.814285,8670947
2022-02-21,220.300003,221.300003,217.149994,218.000000,213.003677,16129017
2022-02-22,215.000000,216.899994,213.000000,214.850006,209.925873,25749340
2022-02-23,216.800003,217.500000,215.050003,215.949997,211.000656,11014283
2022-02-24,210.000000,213.300003,207.000000,208.500000,203.721405,41341523
2022-02-25,211.500000,216.500000,210.550003,213.949997,209.046494,23633656
2022-02-28,213.199997,216.449997,210.800003,215.850006,210.902954,20034633
2022-03-02,214.399994,216.600006,212.449997,215.300003,210.365555,19295994
2022-03-03,216.050003,220.199997,216.000000,219.399994,214.371582,28532668
2022-03-04,217.699997,227.399994,217.000000,225.500000,220.331772,66835736
2022-03-07,222.000000,227.000000,220.100006,224.949997,219.794388,45258669
2022-03-08,223.899994,228.449997,223.750000,226.899994,221.699692,36036336
2022-03-09,227.699997,231.399994,226.100006,229.250000,223.995834,42294906
2022-03-10,231.000000,232.500000,227.850006,232.000000,226.682800,36132245
2022-03-11,231.899994,237.100006,230.149994,236.350006,230.933121,41699184
2022-03-14,236.250000,239.449997,235.300003,239.000000,233.522369,35113638
2022-03-15,239.000000,241.399994,235.899994,237.850006,232.398743,32998305
2022-03-16,240.000000,243.000000,239.100006,242.600006,237.039871,21629521
2022-03-17,245.250000,245.399994,242.699997,244.899994,239.287140,34223740
2022-03-21,245.899994,247.750000,243.800003,244.500000,238.896317,27975134
2022-03-22,244.550003,250.750000,243.550003,249.750000,244.026001,36945426
2022-03-23,251.449997,253.699997,248.500000,252.000000,246.224426,40491633
